age_stratum,type,n_pairs,lambda_max,ci_lower,ci_upper
20-49,change_covariance,229,1.1718834008756625,0.8607621011914002,2.333853356442248
50-59,change_covariance,97,1.2186634062351023,0.870449443589493,2.128984077344788
60-69,change_covariance,227,8.044252140891265,4.772285959996271,12.119356904274937
70-79,change_covariance,683,11.255230017847488,9.359435511843131,13.389056732650042
80+,change_covariance,181,22.055547281029526,17.282859142227657,27.056431129471907
20-49,cross_sectional,409,1.1308143668604707,0.9726813109961087,1.783012381158229
50-59,cross_sectional,166,2.644434008553129,1.4485117991201997,4.262037373837594
60-69,cross_sectional,523,10.355432739394953,6.886022006665932,14.302119864955616
70-79,cross_sectional,1245,23.472508617615702,19.83639856815465,27.17744803826449
80+,cross_sectional,515,49.173492229433236,43.815499370506465,54.38725181399614
20-49,change_naive,189,1.3174030325190356,0.8563984555831771,2.724010573708922
50-59,change_naive,59,0.9418631595810807,0.7409328122563118,1.5392749622872237
60-69,change_naive,97,8.4988575715923,3.247851466035972,16.0407756977808
70-79,change_naive,251,9.400653689884575,7.016605947791232,11.997096209298377
80+,change_naive,43,27.27562399829093,13.494740049361154,41.84976153485081
