age_stratum,n,V_raw,C_raw,V_norm,C_norm,Pi_norm,Pi_ci_lower,Pi_ci_upper
20-49,409,0.8861066731326829,0.0689291206896761,1.0,1.0,1.0,0.550500492307404,1.8200936309924858
50-59,166,1.31918171691814,0.19067029705112626,1.488739174319038,2.7661791582912794,1.8580683614754434,0.984326569309513,2.88003206472353
60-69,523,3.286072511232846,0.2111148452574174,3.7084389621121834,3.062781639241732,0.8258951193569841,0.3819755165754947,1.3836735968539482
70-79,1245,6.548239851282676,0.3327174353904606,7.389900166457908,4.826950236147341,0.6531820630076214,0.3570123157079618,0.9665261700934111
80+,515,13.093784808333272,0.26414081052530236,14.776759057735534,3.8320641244574034,0.25933048711729134,0.13025127084612068,0.5025138346445813
