group,n,lambda_max,ci_lower,ci_upper
med_0,879,8.405439829454895,6.753954123398933,10.216817384956045
med_1,494,13.033684651518218,10.67740181554223,15.45504419665072
med_2,136,11.076545334796077,6.749898210337998,16.39769307828877
med_3+,14,24.95148328067471,6.315772157621116,47.938022297233594
htn_treated,441,13.96290445991529,11.255236549325836,16.828253328360365
htn_untreated,321,11.215116793099327,8.319665292970008,14.449670504148875
